ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
2347,"Podejmujesz ryzykowne decyzje, a potem nie możesz zrozumieć, czemu to się stało.",Na przykład prześpisz się z kolegą na konferencji i potem bardzo tego żałujesz.,"Czasem nawet czujesz się pozbawiona kontroli nad swoją seksualnością, szczególnie gdy jesteś zestresowana.",KWJP,prześpisz się z,przespać się z,to sleep with,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
2348,– Uspokoję pana.,"Na razie nie mam dni płodnych, a kiedy będę je miała, specjalnie na pańskie życzenie nie dopuszczę do siebie żadnego dawcy nasienia.","W przypadku, gdyby tak się stało, napiszę e-maila.",KWJP,dopuszczę do siebie,dopuścić do siebie,to let someone/something in,pozwolić mężczyźnie na stosunek płciowy,to give a man permission for sexual intercourse,sex,1.0,1,1,1,X,always_euph
2349,Chcę żyć pełnią życia – tłumaczy.,"Na razie spotkała się tylko z jednym mężczyzną, ale do niczego nie doszło, w ostatniej chwili spanikowała.","Ale ma z nim kontakt, kto wie, co się jeszcze wydarzy.",KWJP,do niczego nie doszło,do niczego nie doszło,nothing came of it,nie było stosunku płciowego,there was no sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2350,"Przy czym to właśnie ci zwolennicy ewolucjonizmu, którzy w sposób bezczelny chcą okraść świat z tajemnicy, krzyczą „łap złodzieja”.","Na tym przykładzie przyłapaliśmy in flagranti szerszą tendencję wciąż niestety niemiłościwie panującego racjonalistycznego typu poznania, który nie dopuszcza innego poradzenia sobie z tajemnicą, jak jej wyjaśnienie, czyli zanegowanie.","A ponieważ nie da się okraść życia ludzkiego z tajemnicy, pozostaje znów barbarzyńskie okrojenie tajemnicy jedynie do tego, co jeszcze nie zostało naukowo poznane.",KWJP,in flagranti,in flagranti,in flagrante,-,-,sex,0.0,0,0,0,X,sometimes_euph
2351,"A nikt się nie chce co chwila przeprowadzać, chciałby odsapnąć.","Na wiele rzeczy ludzie się godzą, bo jest o stówę albo dwie taniej.",Albo mieszkanie trzypokojowe kosztuje tyle co dwupokojowe.,KWJP,stówę,stówa,hundred,sto złotych,hundred złoty,money,1.0,1,1,1,X,sometimes_euph
2352,Ale rzadko tak bywa.,Nadziane kumplują się wszak z nadzianymi.,I odwrotnie.,KWJP,nadziane,nadziany,stuffed,bogaty,rich,money,1.0,1,1,1,X,always_euph
2353,"Ja jeden widzę w tobie niezwykłą istotę, którą jesteś. Mnie jednego obchodzisz” (MK, 161).","Nadzieja, jaką Lekarz wiąże z Michaelem K., wiąże się z jego niewinnością, którą tylko winni, a więc uwikłani – w historię, doktrynę, ideologię – potrafią dostrzec i docenić: „Jeśli idzie o Michaelsa – pisze – to zawsze miałem wrażenie, że ktoś zgarnął garść piachu, splunął i uklepał go z grubsza na kształt człowieka, popełniając parę błędów (usta i niewątpliwie to, co w głowie), opuszczając parę szczegółów (płeć), lecz mimo to uzyskując w końcu autentycznego ziemnego ludzika, takiego ludzika, jakiego widujemy w sztuce ludowej – wynurzającego się na świat spomiędzy masywnych ud matki-żywicielki, z zagiętymi palcami i zgarbionym grzbietem, w pełnej gotowości do życia wypełnionego ryciem w ziemi – istotę, która całe swoje życie na jawie spędza schylona nad glebą, a kiedy wreszcie przychodzi na nią czas, wykopuje własny grób, wślizguje się tam po cichu, nakrywa głowę ciężką ziemią jak kocem, uśmiecha się po raz ostatni i zapada w sen, nareszcie w domu, podczas gdy gdzieś daleko, jak zwykle nie zauważone, nadal zgrzytają koła historii.","Jakiż organ państwowy rozważałby pomysł werbowania podobnych istot na swoich przedstawicieli i jakie znalazłyby zastosowanie, prócz noszenia ciężarów i masowego umierania?",KWJP,w pełnej gotowości,w pełnej gotowości,in full readiness,-,-,sex,0.0,0,0,0,X,sometimes_euph
2354,"Ale jak jej użyć, nie ryzykując własnej zagłady?","Najgorsze, że poza rosyjskim nacjonalizmem nie ma idei, w imię której można bałamucić inne narody.",Nawet kłamstwa brzmią niewiarygodnie.,KWJP,bałamucić,bałamucić,to confuse,-,-,sex,0.0,0,0,0,X,sometimes_euph
2355,"To z pewnością nie była wina Ágnes, najpiękniejszej kobiety Węgier, najatrakcyjniejszej i najbardziej pożądanej, być może moja wina, a najpewniej wyłącznie natury, hormonów, nieudanej konstrukcji emocjonalnej, poczucia grzechu wreszcie.","Najpewniej właśnie poczucie grzechu śmiertelnego towarzyszyło mi chwilę po spełnieniu seksualnym oraz świadomość, że tego grzechu już nigdy w żaden sposób z siebie nie zmyję, mogę pożegnać się ze zbawieniem i przywitać z potępieniem wiecznym.","Oczywiście to pozostałości kalwinizmu, który zainfekował całe pokolenia moich rodaków, cały kraj, kalwinizmu, który był nawozem hipokryzji, obłudy, pozoranctwa, choć oczywiście pamiętam o jego niezaprzeczalnych zasługach dla rozwoju węgierskiej kultury, nauki i edukacji.",KWJP,spełnieniu,spełnienie,fullfilment,orgazm,orgasm,sex,1.0,1,1,1,X,always_euph
2356,"Miałam bardzo ułatwione zadanie, bo Dodow cały czas się przy mnie kręcił.",Napalił się jak pies na konserwę.,– Ciekawe porównanie – zauważył Wujo.,KWJP,napalił się,napalić się,to fire oneself up,podniecić się,to be aroused,sex,1.0,1,1,1,X,sometimes_euph
2357,To był tutejszy ważniak.,Napalił się na mnie jak szczerbaty na skórę z nogi stąpacza.,"Zarezerwował mnie sobie na rok do przodu, cieniak jeden.",KWJP,napalił się,napalić się,to fire oneself up,podniecić się,to be aroused,sex,1.0,1,1,1,X,sometimes_euph
2358,"Na przykład kiedy szukałam na Tinderze chłopaka, z którym mogłabym się trwalej związać, w moim profilu było jak najwięcej info zwiększających szanse, że sparuje się ze mną Odpowiedni Mężczyzna.","Napisałam, że nie chcę facetów żonatych i w związkach oraz przygód na jedną noc.","I sporo o tym, co robię w życiu i co mnie interesuje.",KWJP,przygód,przygoda,adventure,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2359,"Niedawno, kiedy byłem w Wilnie, zwróciła się do mnie pewna pani, przypominając, że kiedyś mówiono do nauczyciela „panie nauczycielu”.",Nastąpiła pauperyzacja tego zawodu.,Panie nauczycielu” przestało brzmieć jak honorowanie tytułem.,KWJP,pauperyzacja,pauperyzacja,pauperization,-,-,money,0.0,1,0,0,X,sometimes_euph
2360,Musiało do tego dojść.,Naukowiec zawsze jakoś dogada się z naukowcem.,Ann była prymatologiem.,KWJP,jakoś dogada się,dogadać się jakoś,talk it out,-,-,money,0.0,0,0,0,X,sometimes_euph
2361,"- Tak to jest, widzi pan.","Niby stolica, niby samo centrum, mieszkania po dziesięć patyków za metr, a szczury po osiedlu w biały dzień biegają.",- Za dużo gałganów — chichocze staruszek w spranej na amen koszulce z EURO 2012.,KWJP,patyków,patyk,stick,tysiąc złotych,thousand złoty,money,1.0,1,1,1,X,always_euph
2362,Zamknąłem jej usta pocałunkiem.,"Nie brutalnym, tak jak kilka godzin temu, kiedy chciałem jej dać nauczkę, gdy omal nie posiadłem jej w hotelowym korytarzu, ale delikatnym, choć zachłannym, smakując jej usta, jej ciepły oddech i słone łzy.","Helena nadal próbowała protestować, ale nie zamierzałem jej na to pozwolić.",KWJP,posiadłem,posiąść,to own,odbyć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
2363,"Ruch języka może stać się bardziej urozmaicony, na przykład na kilka pionowych liźnięć może przypaść kilka kolistych lub krótkich, urwanych poziomych.","Nie kończ tego etapu, dopóki nie poczujesz, że twoja partnerka jest znacznie bardziej pobudzona, niż była jeszcze pięć minut temu.",Hasłem na ten etap jest: pogłębianie podniecenia.,KWJP,pobudzona,pobudzony,hyped up,gotowy do stosunku płciowego,ready for sexual intercouse,sex,1.0,1,1,1,X,always_euph
2364,Że będę czekać na niego przez tyle lat?,Nie miałam środków do życia.,"Chociaż moi teściowie pomagali finansowo mnie i dzieciom, odbierałam to jako jałmużnę.",KWJP,środków,środki,means,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2365,– Ona została zgwałcona!,Nie oddała się dobrowolnie!,Nie rozumiesz?,KWJP,oddała się,oddać się,to give oneself,pozwolić mężczyźnie na stosunek płciowy,to give a man permission for sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2366,"Nikt nie podniesie na ciebie ręki i wtedy zrozumiesz, dlaczego chcę, żebyś była blisko mnie.","Nie posunę się dalej, bo wiem, jaką krzywdę ci zrobiłem, choć żadna inna kobieta nie wzburzyła tak mojej krwi, gdy w niej byłem.","Możesz to mieć znowu, a potem puść nas wolno… – powiedziała nieśmiało.",KWJP,nie wzburzyła mojej krwi,wzburzyć krew,to stir up the blood,podniecić kogoś seksualnie,to arouse someone,sex,1.0,1,1,1,X,always_euph
2367,Fitzgerald i Fincher opowiadają o zaburzeniach „naszych czasów” – rzecz zaczyna się po I wojnie światowej.,"Nie uważam tego filmu za wybitny, kulturowy mainstream wymaga efektownego i uproszczonego wykładania idei, więc dramaty są tu melodramatami, jednak środki filmowe pozwoliły pokazać metaforę naszego biegania wokół zegara, historycznego i prywatnego czasu.","Trzeci wiek trwa najdłużej, jest najgęstszy.",KWJP,środki,środki,means,-,-,money,0.0,0,0,0,X,sometimes_euph
2368,"Choć nigdy nie doczekał się odpowiedzi, przez wszystkie te lata słał synowi listy, a w nich pieniądze.","Nie wiedział, że wszystkie zasilają kasę meczetu i ugrupowania Hurysów, podczas gdy jego syn został Kadim i urzęduje w pustynnej siedzibie.",We wrześniu 2001 doznał silnego udaru.,KWJP,kasę,kasa,checkout / cash register / counter,-,-,money,0.0,1,0,0,X,sometimes_euph
2369,"Martwi go jednak, iż w ""Klerze"" nie przedstawiono żadnego pozytywnego wizerunku księdza.","Nie zgadzam się z tym, że każdy ksiądz nastawiony jest na kasę, sukces, władzę i wpływy.","Nie zgadzam się z tym, że każdy ksiądz jest nieukiem, nieradzącym sobie w pracy w szkole (...) - pisze Ołdak dla Wirtualnej Polski, zgadzając się z faktem, że w Kościele zdarzają się czarne owce.",KWJP,kasę,kasa,checkout / cash register / counter,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2370,Jego ostentacyjny przyodziewek obliczony był na wywołanie określonego efektu – napełnienia serc przeciwników nabożną trwogą.,Niebawem również pozostali stanęli w pełnej gotowości.,Authun własnoręcznie napełnił trunkiem ich rogi.,KWJP,w pełnej gotowości,w pełnej gotowości,in full readiness,-,-,sex,0.0,0,0,0,X,sometimes_euph
2371,"rezydent Łukaszenka co prawda uważa, że w gospodarce wdrożenie zasad dystansu społecznego nie jest możliwe, bo przecież, jak powiedział w trakcie wizyty w smolewiczskim rejonie, „dojenie krów na odległość nie jest możliwe”.","Niemniej jednak białoruskie media dostrzegają pewne zmiany w polityce władz, które do tej pory lekceważyły zagrożenie pandemią, uważając, że nie jest ona groźniejsza od grypy, a podejmowane na całym świecie środki to wynik rozpętanej histerii.","Na Białorusi nie wprowadzono praktycznie żadnych środków bezpieczeństwa, imprezy masowe cały czas się odbywały, liga białoruska rozgrywała mecze, a na ulicach było pełno ludzi.",KWJP,środki,środki,means,-,-,money,0.0,0,0,0,X,sometimes_euph
2372,"Ten rozdział wypada chyba gdzieś pod koniec książki, więc już powinieneś wiedzieć, że tak nie jest.","Niemniej jednak znam sporo przykładów, gdy ktoś po prostu postanowił „zainwestować” (cudzysłowu użyłem tu w sposób prześmiewczy) zarobioną gdzie indziej kapuchę i jego błędne wyobrażenie zawiodło go na gastronomiczne pole minowe.","Jeśli ktoś nie uczy się na błędach wystarczająco szybko i nie wyciąga wniosków, to błyskawicznie wtopi i wróci na etat w korpo z podkulonym ogonem.",KWJP,kapuchę,kapucha,cabbage,pieniądze,money,money,1.0,1,1,1,X,always_euph
2373,"Jeśli będzie się rozwijać, nie zginiemy, a Amerykanie to rozwój — cieszyła się mama żyjącego z lotniska starszego szeregowca.","Niestety, wiadomo już, że na te wszystkie kokosy nie ma co liczyć.","Wczoraj Łask zamiast eskadry powitał zaledwie 10 amerykańskich pilotów i techników, którzy — owszem — będą w Łasku pracować (szkolić naszych pilotów), ale mieszkać w Łodzi i jej okolicach.",KWJP,kokosy,kokosy,coconuts,duża suma pieniędzy,large amount of money,money,1.0,1,1,1,X,sometimes_euph
2374,To BMW 523i z początku produkcji było świetnym zakupem za nieduże pieniądze.,Niewiarygodnie dobry stan blacharski i wzorowa kondycja silnika przekonały mnie do zakupu.,"Sprzedający próbował jednak ukryć poszarpaną tapicerkę fotela, robiąc zdjęcia pod odpowiednim kątem.",KWJP,kondycja,kondycja,condition,-,-,money,0.0,0,0,0,X,sometimes_euph
2375,I ten ogon…,"Nosiła go dumnie, wysoko i tylko koniuszek wyprawiał komiczne figle.",Dhatusen roześmiał się i krzyknął: — Babciu!,KWJP,figle,figle,tricks,-,-,sex,0.0,0,0,0,X,sometimes_euph
2376,W niektórych przypadkach fetysz oznacza zachowanie ciągłości z nieobecną partnerką i nie ma powodu do określania takiego zachowania jako dewiacyjnego.,"Noszenie majtek swojej kochanki może wynikać z faktu, że zabrał te majtki w trakcie jakiegoś szybkiego numerku.","Ona szybko je zdjęła, a on je schował i tak mu zostały.",KWJP,numerku,numerek,number (diminutive),stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,always_euph
2377,W przypadku Karoliny ksiądz został jednak oskarżony.,"O ""doprowadzenie do obcowania płciowego przy wykorzystaniu zaufania"" (był katechetą dziewczynki).",Ks. Roman wyszedł z aresztu po czterech miesiącach śledztwa (wpłacił 20 tys. kaucji).,KWJP,obcowania,obcowanie,interaction,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2378,Na szczęście mogę raz jeszcze uśmiechnąć się na samo wspomnienie tyrady wuefisty.,"O tym, jak to przez zakaz kontaktów fizycznych nie może wykonywać z uczniami wielu ćwiczeń, choćby całej gimnastyki.","Robię więc to, co mi zostało – konstatuje facet w dresie.",KWJP,kontaktów fizycznych,kontakt fizyczny,physical contact,-,-,sex,0.0,0,0,0,X,sometimes_euph
2379,Uświęć mnie świętością twego ciała,Oblecz mój ból wzburzoną krwią twoją i z całych sił,Nie opuszczaj mnie,KWJP,wzburzoną krwią,wzburzyć krew,to stir up the blood,podniecić kogoś seksualnie,to arouse someone,sex,0.0,0,1,0,X,sometimes_euph
2380,"Kiedyś wystarczyło, że tylko na siebie spojrzeli i — już!","Oboje w pełnej gotowości, on stoi na baczność, ona odpowiednio wilgotna.","Po latach pożądanie nie pojawia się już tak spontanicznie, ale zamiast czekać, aż pojawi się ochota, wyjdźcie jej naprzeciw.",KWJP,w pełnej gotowości,w pełnej gotowości,in full readiness,być przygotowanym fizjologicznie do stosunku płciowego,to be physically ready for sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2381,"Dopiero teraz widziałam, jak mogą wyglądać relacje między kobietą a mężczyzną.","Oczywiście zdawałam sobie sprawę, że pożycie dwojga ludzi po trzydziestu latach małżeństwa nie będzie zbytnio podobne do związku na pierwszym etapie znajomości.","Codzienność i rutyna odzierają uczucie z powabu świeżości, tłamszą namiętność.",KWJP,pożycie,pożycie,living together,kontakty seksualne,sexual relations,sex,1.0,1,1,1,X,always_euph
2382,"Kiedyś mijałem je bez emocji, bo znałem przecież ich piosenki na pamięć.","Od pewnego czasu, przechodząc obok, wrzucam dychę w czapkę starszej pani, a przynajmniej kłaniam się orkiestrze.","Podlewam kwiatek, żeby nie usechł, karmię żubra, żeby nie zdechł.",KWJP,dychę,dycha,ten (augmentative),dziesięć złotych,ten złoty,money,1.0,1,1,1,X,sometimes_euph
2383,"Dopiero gdy zajrzał do komory, w której powinno znajdować się zapasowe koło, znalazł to, czego szukał – taśmę izolacyjną.",Oderwał kawałek i przykleił złotówkę.,– Stój!,KWJP,złotówkę,złotówka,one złoty,,,money,0.0,0,0,0,X,sometimes_euph
2384,"Pozostawiali człowieka samego, aby dogorywał na poboczu, kiedy odkrywał w końcu, że został oszukany i wypalony z nadziei na lepsze życie.",Odrąbane ręce Chrystusa pokazywały całą prawdę o kondycji opuszczonej i zagubionej istoty ludzkiej.,Czy nikczemny akt wandalizmu miał związek z ogłoszeniem raportu?,KWJP,kondycji,kondycja,condition,-,-,money,0.0,0,0,0,X,sometimes_euph
2385,"Była jedynaczką, rozwodziła się z mężem ambasadorem w jednym z krajów w Ameryce Południowej.",On nawiązał bliższe kontakty z mieszkanką tamtych regionów.,"Kiedy pacjentka się o tym dowiedziała, wróciła do Polski i wszczęła procedury rozwodowe.",KWJP,bliższe kontakty,bliższy kontakt,closer contact,współżycie seksualne,sexual relations,sex,1.0,1,1,1,X,always_euph
2386,"W debiucie Piotra Domalewskiego, nagrodzonym zasłużenie Złotymi Lwami na festiwalu w Gdyni, wszystko jest na swoim miejscu – na piecu kaflowym stary boombox, na szafce mikrofalówka, pamiątki z budowlanych saksów, na kuchni emaliowane gary niepamiętające lepszych czasów, na podwórku szklarnia, do której nikt nie zagląda, i sterta rupieci, które przecież jeszcze na coś mogą się przydać.",Ostatecznie napali się nimi w piecu.,"Na tapczanie dzieciaki oglądają „Kevina samego w domu”, w garażu panowie rozmawiają o płynach i mechanice, kobiety lepią pierogi, sąsiad siedzi w lesie i pilnuje choinek, bo boi się, że go okradną.",KWJP,napali się,napalić się,to fire oneself up,-,-,sex,0.0,0,0,0,X,sometimes_euph
2387,– No dobrze.,"Pan śpi z młodzieżą, czy woli pan u mnie, na kwaterze?","Nic specjalnego – dodał pośpiesznie – mamy przybudówkę, w której pomieszkiwali pracownicy sezonowi, teraz stoi pusta, a dla turystów będzie jak znalazł.",KWJP,śpi z młodzieżą,spać z kimś,to sleep with someone,-,-,sex,0.0,0,0,0,X,sometimes_euph
2388,"– Nie o to chodzi, tylko jak abonament, to lepiej w okienku C.",Pan weźmie numerek i koleżanka panu powie.,– W tym momencie w jej oczach pojawia się błysk.,KWJP,numerek,numerek,number (diminutive),-,-,sex,0.0,0,0,0,X,sometimes_euph
2389,"W pęknięciach zastygłej lawy, w tej zdawałoby się pustyni śmiertelnego żywiołu, natychmiast rodzi się życie.",Paprocie i palmy kiełkujące z wyrzucanych tu przez ocean kokosów walczą o przetrwanie.,O zwycięstwo życia nad śmiercią.,KWJP,kokosów,kokosy,coconuts,-,-,money,0.0,0,0,0,X,sometimes_euph
2390,Operator monitoringu na stacji kolejowej w brytyjskim mieście Shrewsbury aż złapał się za głowę.,Para kochanków baraszkowała w windzie.,Według informacji brytyjskiej policji para kochanków weszła do windy dokładnie o 19.25.,KWJP,baraszkowała,baraszkować,to frolic,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
2391,"Przewoźnicy jak ognia unikają jednak ujawnienia wyników tych eksperymentów, ale wydaje się, że zakończyły się klapą.","Pasażer o odpowiednio zasobnym portfelu wybierze samolot, szczególnie przy długim w Polsce czasie przejazdu między miastami.","Jeśli uda nam się zrealizować plany modernizacyjne, to czy kolej nie stanie się przez to zbyt droga?",KWJP,zasobnym,zasobny,abundant,bogaty,rich,money,1.0,1,1,1,X,always_euph
2392,Nad niektórymi województwami zawisło widmo klęski głodowej.,"Pauperyzacja wsi odbiła się nie tylko na sposobie odżywiania, ale w jeszcze większym stopniu na zaopatrzeniu w ubranie.","Brakowało butów, przeważająca część rolników przez większą część roku chodziła boso.",KWJP,pauperyzacja,pauperyzacja,pauperization,zubożenie,impoverishing,money,1.0,0,1,1,X,sometimes_euph
2393,"Przyczyniłoby się to nie tylko do rozwoju gospodarczego kraju i zmniejszenia bezrobocia, ale także sprzyjałoby przenoszeniu na mołdawski grunt zachodnich standardów biznesowych.","Perspektywa ta jest jeszcze bardziej interesująca, jeśli wziąć pod uwagę, że wedle danych z 2013 roku aż 37% środków zarobionych przez emigrantów gromadzonych jest przez nich poza Mołdawią (najczęściej w kraju pracy i zamieszkania).",Sumę tych oszczędności szacuje się obecnie na co najmniej 6 mld euro.,KWJP,środków,środki,means,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2394,W pracy złożyłam wypowiedzenie.,"Pierwsze tygodnie w Neapolu były cudowne – w dzień poznawałam miasto, wieczorami piliśmy wino i kochaliśmy się.","Po dwóch miesiącach Pietro zapytał, czy miałabym ochotę pomóc w jego restauracji.",KWJP,kochaliśmy się,kochać się,to love,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2395,Lecz jednocześnie ta tendencja do ograniczającej myślenie dosłowności stała się niewątpliwie ciężką chorobą naszych czasów.,"Pierwszym jej objawem jest brak zdolności do rozumienia metafory, potem pauperyzacja poczucia humoru.","Towarzyszą jej skłonność do wydawania ostrych, pochopnych sądów, nietolerancja niejednoznaczności, zanik wrażliwości na ironię i – w końcu – powrót dogmatyzmu i fundamentalizmu.",KWJP,pauperyzacja,pauperyzacja,pauperization,-,-,money,0.0,1,0,0,X,sometimes_euph
2396,Świąteczna kampania firmy Apart z udziałem podobno znanych aktorek pokazuje przyjaźń trzech kobiet opływających w luksus.,"Pląsanie w śniegu, baraszkowanie z bałwankiem w sukni wieczorowej, błysk pierścionka, tu i ówdzie zalotne uśmiechy","Oraz (z ostatniej chwili!) Anna Lewandowska (celebrytka, która pozwała feministyczną aktywistkę, gdy ta zarzuciła trenerce fat shaming) z podpisem siła kobiet (?) na okładce „Elle”…",KWJP,baraszkowanie,baraszkować,to frolic,-,-,sex,0.0,0,0,0,X,sometimes_euph
2397,-,"Po stronie Bronisława Komorowskiego są główne media, świat finansjery, machina państwowa – wszyscy w pełnej gotowości.","Wiedzą, że wraz z Komorowskim znaleźli się nad krawędzią, bo urzędujący prezydent uwierzył we własną wielkość.",KWJP,w pełnej gotowości,w pełnej gotowości,in full readiness,-,-,sex,0.0,0,0,0,X,sometimes_euph
2398,"Wiele utworów tego gatunku opiewa bogactwo podmiotu lirycznego i tak też jest w tym przypadku, przynajmniej do pewnego momentu.","Podmiot opisuje nam swój dzień: „Wstaję rano haj$,/ myję te zęby złote./ Na śniadanie haj$/Nie jestem biedny, mam flotę”.","Mamy zatem do czynienia ze współczesną wersją Midasa skrzyżowaną z modelem bogactwa specyficznym dla naszych wschodnich sąsiadów, a to z uwagi na uzębienie.",KWJP,flotę,flota,fleet,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2399,"Znana nam twórczość Karola Wojtyły składa się z piętnastu poematów, z których tylko pierwszy – Pieśń o Bogu ukrytym, napisaną w roku 1944 – można bez wahania uznać za liryczny.","Poeta święci tam radość intymnego związku z Przyjacielem, który utożsamia chwilę i wieczność, pogrążając duszę w „milczeniu” czy „nicości”, co zdaje się pochodzić „sprzed stworzenia”.","Orientacja wypowiedzi na mówiące ja – to samo w szesnastu fragmentach Pieśni – łączy się tam z dominacją teraźniejszości: mistyczne zachwycenie odnawia się równolegle do słów, które usiłują je wyrazić.",KWJP,intymnego związku,intymny związek,intimate relationship,-,-,sex,0.0,0,0,0,X,sometimes_euph
2400,Maciek narzucił solidne tempo.,"Pomyślałem wtedy, że chciałbym mieć w jego wieku taką kondycję.","W pewnym momencie odbił nieco w lewo, żeby obejść stromą ściankę.",KWJP,kondycję,kondycja,condition,-,-,money,0.0,0,0,0,X,sometimes_euph
2401,Ile ważysz?,Ponad stówę?,Ja dwadzieścia kilo mniej.,KWJP,stówę,stówa,hundred,-,-,money,0.0,0,0,0,X,sometimes_euph
2402,Do grona wtajemniczonych osób zaliczał się też ambasador Francji i nadworny lekarz.,"Ponieważ Krystyna spotykała się z nimi dość często, a spotkania odbywały się bez świadków, szybko pojawiły się plotki o intymnych związkach, jakie rzekomo łączyły ją z obydwoma panami.","Krystyna wiedziała, że protestancką Szwecją nie może rządzić katolicka władczyni, więc w 1654 r. abdykowała i wyjechała z kraju.",KWJP,intymnych związkach,intymny związek,intimate relationship,związek seksualny,sexual relationship,sex,1.0,1,1,1,X,always_euph
2403,Jest czym kusić.,"Poseł PiS ciupciający niż nieciupciający korzystniejszy jest dla ojczyzny, bo po pierwsze, energię swoją ładuje w romans, sił ma mniej i dzięki temu mniej szkód narobi w polityce.",Zwłaszcza w wypadku posła Pięty jest to nie do przecenienia.,KWJP,ciupciający,ciupciać,to mindlessly and tiresomely repeat doing something,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
2404,"Tylko ja, Amelia i nasz mały świat bez nikogo więcej.","Postanowiłam, że z całą pewnością nigdy nie dopuszczę do siebie żadnego mężczyzny.","Teraz wiedziałam, że już nie będę w stanie zaufać komukolwiek.",KWJP,dopuszczę do siebie,dopuścić do siebie,to let someone/something in,pozwolić mężczyźnie na stosunek płciowy,to give a man permission for sexual intercourse,sex,1.0,1,0,1,X,always_euph
2405,Czyli taki analogowy Tinder.,"Potem się zaznacza numerki, gdzie zaiskrzyło, i jeśli są zgodne, można się umówić na kawę z ciasteczkiem.",– Fantastycznie!,KWJP,numerki,numerek,number (diminutive),-,-,sex,0.0,0,0,0,X,sometimes_euph
2406,"Junior udzielił mu wszelkich pełnomocnictw, w tym zwłaszcza odnoszącego się do forsy nieboszczyka.","Powiedział prawnikowi, że stary przytulił kilka melonów w lokatach, akcjach, nieruchomościach.",Junior bez skrępowania zacierał ręce.,KWJP,melonów,melon,melon,milon złotych,million złoty,money,1.0,1,1,1,X,sometimes_euph
2407,On gadał straszne rzeczy.,"Powiedział, mam to na świeżo, bo kazałem przygotować dossier, że mniejszość nie może wchodzić na głowę większości, mówił coś o bałamuceniu dzieci i wnuków, że nie chce parad równości.",Rozumiesz?,KWJP,bałamuceniu,bałamucić,to confuse,-,-,sex,0.0,1,0,0,X,sometimes_euph
2408,"Chyba po wojnie porzucił młodzieńcze ideały, skoro w Ameryce stał się kupcem.","Powodziło im się zupełnie nieźle, mieli własny dom, a Sara nie pracowała.","Chaim prowadził sklep papierniczy, w którym Monika lubiła mu pomagać.",KWJP,powodziło im się,powodzić się,to be successful,"mieć tyle pieniędzy, że nie trzeba się o nie martwić","to have sufficient amount of money, so as one does not have to worry about it",money,1.0,1,1,1,X,sometimes_euph
2409,"Wspomniał nawet znajomego prałata, który „dewotce zmyślającej opętanie miasto Relikwiarza pokazał tabakierkę, a ona się poczęła wszytka trząść, wykrzywiać.","Poznał figle pijaczki, rózgami dobrze kazał odstraszyć czarta, pachołków nie egzorcystów do tego zazywszy.","Jak się poprawiła, dobrą potym opatrzona jałmuzna”.",KWJP,figle,figle,tricks,-,-,sex,0.0,0,0,0,X,sometimes_euph
2410,"Często spotykam mężczyzn, którzy są nieszczęśliwi, bo dali się uwieść i wykorzystać.","Pragną kobiety, o której umieją powiedzieć tylko tyle, że jej nie rozumieją.","Próbuję im wyjaśnić, że to nie jest niezwykła istota, ale ktoś, kto za sprawą obietnic bez pokrycia trzyma ich mocno i nie puści.",KWJP,pragną kobiety,pragnąć kobiety,to crave a woman,-,-,sex,0.0,0,0,0,X,sometimes_euph
2411,"Jeśli porażenie nie jest silne, to część owadów następnego dnia wróci do pełni sił.",Problemowi zatrucia nektarem można zapobiegać zapewniając pszczołom atrakcyjne pastwiska zasobne w bezpieczne rośliny nektarodajne.,Pszczoły mogą także zatruć się pyłkiem.,KWJP,zasobne,zasobny,abundant,-,-,money,0.0,0,0,0,X,sometimes_euph
